date,global-100,global-esg,global-green-property,global-infrastructure,hedged-global-100,global-esg-nzd-hedged,hedged-global-infrastructure,kernel-balanced-fund,kernel-cash-plus-fund,kernel-high-growth-fund,kernel-march-2027-nz-bond-fund,kernel-march-2029-nz-bond-fund,kernel-nz-bond-fund,nz-20,nz-50-esg-tilted,nz-property,emerging-markets,nz-small-mid-cap-opportunities,sp-500-nzd-hedged,sp-500-unhedged,global-clean-energy,global-dividend-aristocrats,kernel-us-bond-fund
2020-05-27,,,,,,,,,,,,,,0.024793388429751984,,0.020000000000000018,,0.01388888888888884,,,,,
2020-05-31,,,,,,,,,,,,,,-0.016129032258064502,,-0.009803921568627416,,0.0,,,,,
2020-06-03,,,,,,,,,,,,,,0.0191256830601092,,0.014851485148514865,,0.020547945205479534,,,,,
2020-06-10,,,,,,,,,,,,,,0.008042895442359255,,0.029268292682926855,,0.04026845637583887,,,,,
2020-06-17,,,,,,,,,,,,,,0.010638297872340496,,-0.023696682464455,,-0.012903225806451646,,,,,
2020-06-24,,,,,,,,,,,,,,-0.013157894736842146,,0.009708737864077666,,0.019607843137254832,,,,,
2020-06-30,,,,,,,,,,,,,,0.02400000000000002,,-0.028846153846153855,,-0.019230769230769273,,,,,
2020-07-01,,,,,,,,,,,,,,-0.01302083333333337,,0.00990099009900991,,0.0,,,,,
2020-07-08,,,,,,,,,,,,,,0.0316622691292876,,0.004901960784313708,,0.019607843137254832,,,,,
2020-07-15,,,,,,,,,,,,,,-0.010230179028132946,,0.029268292682926855,,0.0,,,,,
2020-07-22,-0.0050000000000000044,,,0.0,,,,,,,,,,0.010335917312661591,,0.009478672985782088,,0.0064102564102563875,,,,-0.005076142131979711,
2020-07-29,-0.017587939698492483,,,0.014403292181069949,,,,,,,,,,-0.010230179028132946,,0.0046948356807512415,,-0.006369426751592355,,,,-0.005102040816326481,
2020-07-31,0.010230179028132946,,,-0.014198782961460488,,,,,,,,,,0.012919896640826822,,0.0,,0.0064102564102563875,,,,-0.01538461538461533,
2020-08-05,0.017721518987341867,,,0.008230452674897082,,,,,,,,,,0.0025510204081633514,,0.0,,-0.01273885350318471,,,,0.02083333333333326,
2020-08-12,0.027363184079602032,,,0.026530612244898055,,,,,,,,,,-0.025445292620865145,,-0.01869158878504673,,-0.012903225806451646,,,,0.05612244897959173,
2020-08-19,0.004842615012106588,,,-0.021868787276341894,,,,,,,,,,0.023498694516971286,,0.02857142857142847,,0.03267973856209161,,,,-0.02898550724637683,
2020-08-26,0.01927710843373487,,,-0.022357723577235755,,,,,,,,,,0.022959183673469497,,0.02314814814814814,,0.025316455696202445,,,,-0.00497512437810943,
2020-08-31,-0.011820330969267157,,,-0.016632016632016633,,,,,,,,,,-0.012468827930174564,,0.0,,0.0185185185185186,,,,-0.020000000000000018,
2020-09-02,0.011961722488038173,,,0.008456659619450413,,,,,,,,,,-0.002525252525252486,,0.009049773755656076,,0.0,,,,0.005102040816326481,
2020-09-09,-0.03546099290780147,,,-0.010482180293501009,,,,,,,,,,-0.015189873417721489,,0.004484304932735439,,-0.0060606060606061,,,,0.0050761421319796,
2020-09-16,-0.019607843137254943,,,-0.006355932203389814,,,,,,,,,,0.007712082262210762,,0.013392857142857206,,0.012195121951219523,,,,0.0,
2020-09-23,-0.015000000000000013,,,-0.019189765458422214,,,,,,,,,,-0.010204081632653073,,-0.022026431718061623,,-0.012048192771084376,,,,-0.030303030303030276,
2020-09-30,0.020304568527918843,,,0.010869565217391353,,,,,,,,,,0.0,,0.022522522522522515,,0.012195121951219523,,,,0.015625,
2020-10-07,0.01243781094527363,,,0.023655913978494647,,,,,,,,,,0.02319587628865971,,0.022026431718061623,,0.024096385542168752,,,,0.04615384615384621,
2020-10-14,0.014742014742014753,,,-0.010504201680672232,,,,,,,,,,0.037783375314861534,,0.02155172413793105,,0.01764705882352935,,,,-0.009803921568627416,
2020-10-21,-0.01937046004842613,,,-0.002123142250530785,,,,,,,,,,-0.012135922330097082,,0.021097046413502074,,0.011560693641618602,,,,-0.004950495049504955,
2020-10-28,-0.041975308641975295,,,-0.03191489361702127,,,,,,,,,,-0.014742014742014753,,-0.016528925619834656,,-0.017142857142857126,,,,-0.03980099502487566,
2020-10-31,0.0,,,-0.00219780219780219,,,,,,,,,,-0.014962593516209433,,0.004201680672268893,,-0.005813953488372103,,,,0.010362694300518172,
2020-11-04,0.04381443298969079,,,0.01982378854625555,,,,,,,,,,0.012658227848101333,,0.004184100418409997,,-0.005847953216374324,,,,0.01538461538461533,
2020-11-11,0.009876543209876631,,,0.0388768898488121,,,,,,,,,,0.0475000000000001,,0.02499999999999991,,0.03529411764705892,,,,0.06060606060606055,
